"lon","lat","time","lwe_cm"
109.25,0.25,2003-10-01,14.4012146991202
109.25,0.25,2003-11-01,13.4899679204682
109.25,0.25,2003-12-01,18.1276406521018
109.25,0.25,2004-01-01,12.1910487898602
109.25,0.25,2004-02-01,10.0119642762762
109.25,0.25,2004-03-01,5.35899298715526
109.25,0.25,2004-04-01,4.16675600909484
109.25,0.25,2004-05-01,3.47494132241214
109.25,0.25,2004-06-01,-1.7882083281525
109.25,0.25,2004-07-01,-0.200070195267515
109.25,0.25,2004-08-01,4.43467609771721
109.25,0.25,2004-09-01,-0.483050531489656
109.25,0.25,2004-10-01,3.92265373711264
109.25,0.25,2004-11-01,7.41932367962767
109.25,0.25,2004-12-01,8.9623952762785
109.25,0.25,2005-01-01,6.42502382662444
109.25,0.25,2005-02-01,3.28717318202544
109.25,0.25,2005-03-01,-1.75247071902165
109.25,0.25,2005-04-01,7.93201379541774
109.25,0.25,2005-05-01,8.1217310087908
109.25,0.25,2005-06-01,6.51149922554494
109.25,0.25,2005-07-01,10.4042892624475
109.25,0.25,2005-08-01,-0.206788360365144
109.25,0.25,2005-09-01,-0.617129349030783
109.25,0.25,2005-10-01,10.126587048899
109.25,0.25,2005-11-01,15.1293151508145
109.25,0.25,2005-12-01,9.22730085419019
109.25,0.25,2006-01-01,6.84856729763938
109.25,0.25,2006-02-01,1.58536954944154
109.25,0.25,2006-03-01,-0.938842702306768
109.25,0.25,2006-04-01,-3.71949149280435
109.25,0.25,2006-05-01,1.96038516662231
109.25,0.25,2006-06-01,3.59851240293762
109.25,0.25,2006-07-01,-3.74812274528532
109.25,0.25,2006-08-01,-9.08740074247878
109.25,0.25,2006-09-01,-2.36983373408643
109.25,0.25,2006-10-01,-11.2602579338203
109.25,0.25,2006-11-01,-5.66610352346512
109.25,0.25,2006-12-01,-0.202472325571218
109.25,0.25,2007-01-01,1.66916387348602
109.25,0.25,2007-02-01,-1.93759660949167
109.25,0.25,2007-03-01,0.608642418460326
109.25,0.25,2007-04-01,1.55181461870131
109.25,0.25,2007-05-01,-0.150064534571822
109.25,0.25,2007-06-01,-0.117873382837213
109.25,0.25,2007-07-01,-3.40663173529975
109.25,0.25,2007-08-01,-0.681082507954323
109.25,0.25,2007-09-01,4.2741633438425
109.25,0.25,2007-10-01,2.61580455115017
109.25,0.25,2007-11-01,2.96567702404024
109.25,0.25,2007-12-01,2.94114821650425
109.25,0.25,2008-01-01,-4.89791526806027
109.25,0.25,2008-02-01,-6.46918804042348
109.25,0.25,2008-03-01,-5.14200446278261
109.25,0.25,2008-04-01,-1.86395092724852
109.25,0.25,2008-05-01,-7.67536129611103
109.25,0.25,2008-06-01,-6.54453236234183
109.25,0.25,2008-07-01,-6.68376809161075
109.25,0.25,2008-08-01,-8.81477590221904
109.25,0.25,2008-09-01,1.958329328318
109.25,0.25,2008-10-01,6.13940829890625
109.25,0.25,2008-11-01,1.47339504608474
109.25,0.25,2008-12-01,-1.86372884537406
109.25,0.25,2009-01-01,-7.87948564551953
109.25,0.25,2009-02-01,-1.79454454679582
109.25,0.25,2009-03-01,-4.69617073839676
109.25,0.25,2009-04-01,0.625450401859716
109.25,0.25,2009-05-01,-10.2574522987998
109.25,0.25,2009-06-01,-12.40221465852
109.25,0.25,2009-07-01,-5.93963354643858
109.25,0.25,2009-08-01,-8.64932769102023
109.25,0.25,2009-09-01,-11.7020910484783
109.25,0.25,2009-10-01,-10.035892794946
109.25,0.25,2009-11-01,-6.21003169125047
109.25,0.25,2009-12-01,-0.0679557586445225
109.25,0.25,2010-01-01,3.42262857177671
109.25,0.25,2010-02-01,0.24824036514332
109.25,0.25,2010-03-01,-2.81489393544253
109.25,0.25,2010-04-01,-3.08968739285899
109.25,0.25,2010-05-01,-7.33406504677968
109.25,0.25,2010-06-01,-3.63088730451501
109.25,0.25,2010-07-01,5.14188092244401
109.25,0.25,2010-08-01,3.7772808869668
109.25,0.25,2010-09-01,5.3397861880296
109.25,0.25,2010-10-01,4.27366277180613
109.25,0.25,2010-11-01,0.364631654862666
109.25,0.25,2010-12-01,-0.174972534732796
109.25,0.25,2011-01-01,-4.59644906592121
109.25,0.25,2011-02-01,-9.01792559710963
109.25,0.25,2011-03-01,-10.2335291415362
109.25,0.25,2011-04-01,-13.2893452023635
109.25,0.25,2011-05-01,-4.08993939022223
109.25,0.25,2011-06-01,-5.71347350823972
109.25,0.25,2011-07-01,-7.33700762625721
109.25,0.25,2011-08-01,-13.3795927354958
109.25,0.25,2011-09-01,-11.3633613993568
109.25,0.25,2011-10-01,-0.974150328579156
109.25,0.25,2011-11-01,4.27345456963327
109.25,0.25,2011-12-01,-3.56105895968393
109.25,0.25,2012-01-01,-7.9275937129003
109.25,0.25,2012-02-01,-6.03514638200308
109.25,0.25,2012-03-01,-0.49695199787393
109.25,0.25,2012-04-01,-4.99478861583331
109.25,0.25,2012-05-01,-8.48768019603319
109.25,0.25,2012-06-01,-11.9805717762331
109.25,0.25,2012-07-01,-5.8538748335557
109.25,0.25,2012-08-01,-8.78188570135929
109.25,0.25,2012-09-01,-7.80792395995777
109.25,0.25,2012-10-01,-1.44884322305885
109.25,0.25,2012-11-01,4.91023751384006
109.25,0.25,2012-12-01,6.33538865203226
109.25,0.25,2013-01-01,-3.21636608767032
109.25,0.25,2013-02-01,0.618476674765854
109.25,0.25,2013-03-01,-1.37519290910463
109.25,0.25,2013-04-01,-3.36886249297511
109.25,0.25,2013-05-01,-3.53478727093633
109.25,0.25,2013-06-01,-10.3959440810814
109.25,0.25,2013-07-01,-5.46543446829318
109.25,0.25,2013-08-01,-6.8856876538653
109.25,0.25,2013-09-01,-8.30594083943742
109.25,0.25,2013-10-01,-9.72619402500954
109.25,0.25,2013-11-01,-6.53932745535627
109.25,0.25,2013-12-01,0.201363444875651
109.25,0.25,2014-01-01,2.93843205591261
109.25,0.25,2014-02-01,-8.87533807402113
109.25,0.25,2014-03-01,-20.6891082039549
109.25,0.25,2014-04-01,-12.3421673721915
109.25,0.25,2014-05-01,-10.0857671749894
109.25,0.25,2014-06-01,-9.4637121555224
109.25,0.25,2014-07-01,-12.4078519653285
109.25,0.25,2014-08-01,-15.3519917751346
109.25,0.25,2014-09-01,-14.8091780440907
109.25,0.25,2014-10-01,-15.0691278824201
109.25,0.25,2014-11-01,-7.72425467626621
109.25,0.25,2014-12-01,-6.26187685389414
109.25,0.25,2015-01-01,-4.79949903152208
109.25,0.25,2015-02-01,-4.06029254812486
109.25,0.25,2015-03-01,-6.9548298682997
109.25,0.25,2015-04-01,-9.4647357041323
109.25,0.25,2015-05-01,-9.64452197293287
109.25,0.25,2015-06-01,-11.9309467108561
109.25,0.25,2015-07-01,-14.2173714487794
109.25,0.25,2015-08-01,-19.1137113749013
109.25,0.25,2015-09-01,-17.8287918599806
109.25,0.25,2015-10-01,-15.7491739488592
109.25,0.25,2015-11-01,-13.6695560377377
109.25,0.25,2015-12-01,-11.5899381266163
109.25,0.25,2016-01-01,-7.21647357598912
109.25,0.25,2016-02-01,-6.5356651671177
109.25,0.25,2016-03-01,-2.62606928864582
109.25,0.25,2016-04-01,-0.602653581105666
109.25,0.25,2016-05-01,1.42076212643449
109.25,0.25,2016-06-01,0.39341231534146
109.25,0.25,2016-07-01,-11.7464037142667
109.25,0.25,2016-08-01,-10.7274451496146
109.25,0.25,2016-09-01,-8.73455499687948
109.25,0.25,2016-10-01,-6.74166484414433
109.25,0.25,2016-11-01,-4.74877469140918
109.25,0.25,2016-12-01,-8.18410422433466
109.25,0.25,2017-01-01,-11.141615855673
109.25,0.25,2017-02-01,-9.65179987404478
109.25,0.25,2017-03-01,-8.16198389241654
109.25,0.25,2017-04-01,-7.21807780467459
109.25,0.25,2017-05-01,-5.48976822260604
109.25,0.25,2017-06-01,-8.77201921354367
109.25,0.75,2002-04-01,5.74512347380268
109.25,0.75,2002-05-01,12.5922334854398
109.25,0.75,2002-06-01,8.53754272890572
109.25,0.75,2002-07-01,4.48285197237162
109.25,0.75,2002-08-01,0.428161215837515
109.25,0.75,2002-09-01,-0.717263209008771
109.25,0.75,2002-10-01,7.60818843879945
109.25,0.75,2002-11-01,6.32493876521732
109.25,0.75,2002-12-01,11.5461025070337
109.25,0.75,2003-01-01,11.6162817917783
109.25,0.75,2003-02-01,14.6027712528982
109.25,0.75,2003-03-01,6.3852418578702
109.25,0.75,2003-04-01,8.54175673219915
109.25,0.75,2003-05-01,8.87536054177287
109.25,0.75,2003-06-01,7.42068698063713
109.25,0.75,2003-07-01,5.96601341950138
109.25,0.75,2003-08-01,-0.229227166093976
109.25,0.75,2003-09-01,3.13181997549226
109.25,0.75,2003-10-01,15.1417198516437
109.25,0.75,2003-11-01,13.4246047328492
109.25,0.75,2003-12-01,18.4953904416398
109.25,0.75,2004-01-01,12.6173774758205
109.25,0.75,2004-02-01,10.5525967713519
109.25,0.75,2004-03-01,5.26991119870008
109.25,0.75,2004-04-01,3.4695233830083
109.25,0.75,2004-05-01,3.16663314713455
109.25,0.75,2004-06-01,-1.196798900026
